Tarih,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,HKI
9/29/2019,24.211303567029034,10.846411549308181,9.77411366960551,24.711121529332708,38.24202448118722,15.606904721056356,46.67558811956525,25.58005616391182,1.6372315174931131,77.44991900378821,1008.6467448451872,1.0
9/28/2019,23.641748429045805,10.846190868198214,7.7572342952496625,20.373296510288736,40.118274648029825,19.26970563544192,45.3325696998105,27.73289219696927,1.83747302310456,79.71158724999971,1011.7753229304301,1.0
9/27/2019,31.53886344880948,10.840824321266183,7.171817077194077,27.617748777592023,49.09003652215692,15.136228000686845,50.518974308936365,28.743554356060272,1.6397463425757544,81.7815273333337,1006.3829331439481,1.0
9/26/2019,30.16440782611248,10.855422470389408,7.523470757626711,28.611082399104024,50.79224047721792,15.547421331349186,47.77613519451986,27.730134173553637,1.3483102946179235,82.11645977777769,1004.3536478708127,1.0
9/25/2019,32.11231057638881,10.853706601731544,6.338913092394145,27.38309812110808,43.0272077183068,11.235396506788552,51.43855638451088,27.574432186147,1.2970121919618218,84.55828838257581,1001.6262370626728,1.0
9/24/2019,34.86439849999998,10.849588947348485,14.6685111611112,34.24653334350623,53.98484372812155,15.244281771199635,50.59547428125001,29.47524984848491,1.2861959743130027,74.47885095833382,1003.4283871969693,1.0
9/23/2019,24.811127642210163,10.84878997878788,8.36058564074081,31.207434933193998,58.167849996133135,14.978504801662323,49.70858324252713,28.34612401795164,1.1324904361067172,76.90906809601479,1008.5037274796408,1.0
9/22/2019,16.72372602083345,10.852882846212122,6.348491961574077,19.441362806396306,37.992635674231636,9.333340831762687,53.75833536979161,20.656879890151455,1.6078080696969688,71.24380204166691,1014.6809160124028,1.0
9/21/2019,14.161854387832225,10.857690812121275,4.288439544276141,18.30647210678786,34.23130519261705,7.725370211351191,58.6155399867425,19.55391163372864,1.8428253725760693,78.11917501581009,1016.0843895372363,1.0
9/20/2019,18.045452062948836,10.849630324291693,4.173335668256877,20.308149094842715,37.978958159516225,8.887499393576181,54.280686763393,23.589836554407725,1.819416180130848,90.5144671249997,1008.3222625909116,1.0
9/19/2019,38.360715299201225,10.845904049489393,6.507978839311633,25.72670503397863,45.58612997445492,11.637619046170812,67.50036340365612,29.053014973649365,2.341347160938436,73.04420975543479,1007.9331173221417,1.0
9/18/2019,45.86461390972222,10.85806064621215,15.198198279020467,50.3685806817167,84.13393144274525,19.830995713827928,66.63981809624049,36.39607810606019,1.3905784787190043,60.7788745416663,1005.5072982954608,1.0
9/17/2019,32.54178664583348,10.87034583219697,9.684143592129669,37.05314537235231,54.765423636565934,14.973119324879313,58.8528370914855,31.346016969696816,1.2887111683195551,75.349493791667,1006.960231515161,1.0
9/16/2019,24.848390356884078,10.869925999827824,5.437542877596644,25.09978873453164,34.970229931020015,9.483742358839717,55.929370718523636,25.66065409090909,1.291368384159791,80.358823375,1010.7783438257635,1.0
9/15/2019,27.65124505102664,10.852232653030304,3.496133309742377,22.91375206132945,29.18523677840816,7.117563399558753,64.030420374547,23.398385721343907,1.873465247796152,82.17036454166619,1014.7615730171274,1.0
9/14/2019,27.12554252324875,10.854270017045483,3.7539343956723448,24.941600108890814,32.82691802729323,8.286019631582176,69.54953943787062,24.929985151515268,2.1755299469397484,74.3557405833336,1012.7262633239062,1.0
9/13/2019,25.94448337167864,10.844201479385973,4.137219770833355,21.16620841517851,24.14856437424099,4.831420371890436,62.65680027219189,24.865907630853826,2.225903692011027,75.45880515909099,1011.6291832541318,1.0
9/12/2019,22.90634508907014,10.848178168181848,5.213246448611144,21.968487450696717,26.97557039492761,5.9156125566238975,58.52246017663038,26.137042310606088,1.7248913624700632,80.372113041667,1011.6043249917656,1.0
9/11/2019,22.680440650691644,10.85329465571618,6.733927505850213,16.82267544417505,22.477900109014033,4.328421352869355,72.57034631803188,25.792591828512364,2.0914892862603365,76.95732952272701,1008.5432536432364,1.0
9/10/2019,25.582295234079908,10.85863985037876,5.099495257870367,20.458621019885694,29.820456815794877,6.96282578707268,64.49604431136775,27.887358674242364,1.7398392474173543,78.7492055833333,1005.4440528409093,1.0
9/9/2019,21.19311031379,10.857157023863603,5.5767843652778115,20.078583677745268,27.679402307486995,6.1067708790737365,65.24358602400375,26.844142121211917,1.5955317749206452,75.29651383333331,1006.7770971212126,1.0
9/8/2019,24.147753614766163,10.83603163247612,3.241050218055556,15.682847780749125,20.86041299938631,3.767715625995243,74.10592333913762,24.309954294077183,1.9750265905302995,75.78795493181859,1007.7213515909183,1.0
9/7/2019,21.84671387681165,10.8201845,4.578745739814766,21.474201704696213,30.191647775854047,6.979303996367499,68.97856645695414,28.02043155138373,1.6901219571176271,74.84369210869559,1007.9884026515157,1.0
9/6/2019,19.629059246527664,10.828126048715355,2.5599356282828336,13.979674204807642,17.17689569233301,2.9231371149737666,76.87995720335162,23.630011351808637,2.310614066106718,75.34455638718721,1006.6567228527472,1.0
9/5/2019,27.620095392361087,10.838137951136485,3.3346219851851786,19.253657859615384,26.797929337653198,5.6765362556623975,75.1267795960145,26.912216060606,2.0189782205234,78.563584541667,1004.1012773484973,1.0
